field_id,year,crop_id,prev_crop_id,target_yield_t_ha,target_source,unit_fix_applied,field_tillable_area,field_soil_pH,field_soil_OM,field_soil_P,field_soil_K,field_soil_N,field_soil_Mg,ndvi_n_obs_asof,ndvi_mean_asof,ndvi_max_asof,ndvi_min_asof,ndvi_std_asof,ndvi_p25_asof,ndvi_p75_asof,ndvi_slope_asof,ndvi_last_value_asof,ndvi_integral_asof,ndvi_peak_doy_asof,ndvi_amplitude_asof,ndvi_above_05_days_asof,years_since_sunflower,years_since_wheat,rotation_pair,wx_temp_mean_to_asof,wx_temp_max_to_asof,wx_precip_sum_to_asof,wx_srad_sum_to_asof,wx_vpd_max_to_asof,wx_vpd_mean_to_asof,wx_vpd_days_high_to_asof,wx_et0_sum_to_asof,wx_water_balance_to_asof,wx_gdd_sunflower_to_asof,wx_hot_d30_to_asof,wx_dry_days_to_asof,wx_drought_run_to_asof,wx_heat_run_to_asof,wx_apr_precip,wx_apr_srad,wx_apr_et0,wx_may_precip,wx_may_temp_mean,wx_may_temp_max,wx_may_srad,wx_may_et0,wx_may_vpd_max,wx_jun_precip,wx_jun_temp_mean,wx_jun_temp_max,wx_jun_srad,wx_jun_et0,wx_jun_vpd_max,wx_jun_hot_d30,wx_jul_precip,wx_jul_temp_mean,wx_jul_temp_max,wx_jul_srad,wx_jul_et0,wx_jul_vpd_max,wx_jul_hot_d30,ndvi_anom_mean_asof,ndvi_anom_max_asof,ndvi_anom_min_asof,ndvi_anom_last_value_asof,ndvi_anom_last30d_mean_asof,ndvi_baseline_n_years
195,2010,40.0,40.0,1.7763000000000002,estimate_normalized,True,123.0,6.9,3.6425,225.2,499.4803025,7.5175,427.5,47.0,0.4218936170212767,0.667,0.194,0.1576286012013822,0.292,0.5665,0.0062488875046461,0.664,19.829000000000004,205.0,0.473,16.0,1,99,40__40,11.074590163934428,31.5,288.9,2675.37,3.22,1.1769672131147544,18,425.46,-136.56,811.8000000000001,4,85,12,2,34.0,629.11,69.81,127.3,9.435483870967742,23.6,644.56,100.71,1.8,47.8,17.01,31.5,744.29,135.87,3.22,2,79.8,17.13225806451613,30.0,657.41,119.07,2.58,2,-0.0240272960097428,0.0945892857142858,-0.1009259259259259,0.0945892857142858,-0.0291893518518518,3
197,2010,40.0,40.0,2.2140999999999997,estimate_normalized,True,343.0,6.976923076923077,3.579230769230769,216.96,502.5284007692308,4.591538461538462,454.61538461538464,50.0,0.4467,0.701,0.171,0.2016786800829478,0.213,0.674,0.0075994225749268,0.68,22.335,195.0,0.5299999999999999,25.0,1,99,40__40,11.868032786885246,32.4,288.9,2675.37,3.43,1.241967213114754,19,434.75,-145.85000000000002,890.6999999999999,5,85,12,2,34.0,629.11,70.9,127.3,10.332258064516129,24.3,644.56,103.7,1.87,47.8,17.873333333333335,32.4,744.29,138.78,3.43,3,79.8,17.906451612903226,30.9,657.41,121.37,2.68,2,-0.0417804894179894,0.1222559523809525,-0.1468981481481481,0.1222559523809525,0.003975888133031,3
207,2010,40.0,40.0,2.1087,estimate_normalized,True,110.91,6.875,3.55,244.935,425.663535,5.4125,412.5,46.0,0.3705869565217391,0.721,0.161,0.2173359027231266,0.18925,0.645,0.0076731792960563,0.631,17.047,190.0,0.5599999999999999,14.0,1,99,40__40,11.074590163934428,31.5,288.9,2675.37,3.22,1.1769672131147544,18,425.46,-136.56,811.8000000000001,4,85,12,2,34.0,629.11,69.81,127.3,9.435483870967742,23.6,644.56,100.71,1.8,47.8,17.01,31.5,744.29,135.87,3.22,2,79.8,17.13225806451613,30.0,657.41,119.07,2.58,2,-0.0681173869910283,0.0521916666666667,-0.2471250000000001,0.0119603174603174,0.0277750203500203,3
208,2010,40.0,40.0,2.4501,estimate_normalized,True,130.0,6.8,3.916,202.758,706.31834,5.7,504.0,44.0,0.4117272727272726,0.719,0.142,0.1948291050261466,0.21225,0.61425,0.0072721401883661,0.7,18.115999999999996,205.0,0.577,16.0,1,99,40__40,10.651639344262293,31.2,239.8,2675.1699999999996,3.3,1.1714754098360656,18,425.0799999999998,-185.27999999999983,782.0000000000001,1,87,12,1,29.0,631.9,68.02,98.0,9.148387096774194,23.0,650.79,101.91,1.76,52.9,16.716666666666665,31.2,741.28,136.56,3.3,1,59.9,16.693548387096776,29.7,651.2,118.59,2.54,0,-0.0432176902958153,0.0417936507936507,-0.0795446428571428,0.028111111111111,-0.0131254519400353,3
209,2010,40.0,40.0,2.0058,estimate_normalized,True,301.65,7.042857142857143,3.5357142857142856,171.9557142857143,277.5815457142857,7.35,437.1428571428572,53.0,0.3703584905660377,0.722,0.153,0.1962685966999097,0.197,0.583,0.0071009444584454,0.704,19.629,210.0,0.569,15.0,1,99,40__40,11.868032786885246,32.4,288.9,2675.37,3.43,1.241967213114754,19,434.75,-145.85000000000002,890.6999999999999,5,85,12,2,34.0,629.11,70.9,127.3,10.332258064516129,24.3,644.56,103.7,1.87,47.8,17.873333333333335,32.4,744.29,138.78,3.43,3,79.8,17.906451612903226,30.9,657.41,121.37,2.68,2,-0.0333755765199161,0.0370925925925925,-0.0968333333333333,0.0328333333333332,-0.0005232186948853,3
210,2010,40.0,40.0,2.4812000000000003,estimate_normalized,True,247.0,7.2125,3.72,230.06625,480.10587375,9.455,423.75,48.0,0.4176666666666667,0.742,0.15,0.1990605365767464,0.21675,0.65375,0.0072706160164146,0.724,20.048,210.0,0.592,15.0,1,99,40__40,11.868032786885246,32.4,288.9,2675.37,3.43,1.241967213114754,19,434.75,-145.85000000000002,890.6999999999999,5,85,12,2,34.0,629.11,70.9,127.3,10.332258064516129,24.3,644.56,103.7,1.87,47.8,17.873333333333335,32.4,744.29,138.78,3.43,3,79.8,17.906451612903226,30.9,657.41,121.37,2.68,2,-0.02145227210097,0.0891592592592592,-0.1054444444444445,0.082047619047619,0.0333243291761149,3
212,2010,40.0,40.0,2.5728999999999997,estimate_normalized,True,136.0,7.140000000000001,3.766,232.258,464.594502,5.536,432.0,41.0,0.3792439024390244,0.685,0.169,0.1877937088854845,0.206,0.599,0.0067205036974434,0.685,15.549,205.0,0.516,13.0,1,99,40__40,10.651639344262293,31.2,239.8,2675.1699999999996,3.3,1.1714754098360656,18,425.0799999999998,-185.27999999999983,782.0000000000001,1,87,12,1,29.0,631.9,68.02,98.0,9.148387096774194,23.0,650.79,101.91,1.76,52.9,16.716666666666665,31.2,741.28,136.56,3.3,1,59.9,16.693548387096776,29.7,651.2,118.59,2.54,0,-0.0883560572331913,0.0509833333333333,-0.2748095238095238,0.0509833333333333,-0.062552269027269,3
213,2010,40.0,40.0,2.1619,estimate_normalized,True,14.0,7.2,3.39,148.5,272.23874,13.42,420.0,44.0,0.4099318181818182,0.715,0.179,0.1804653577594316,0.23875,0.6025,0.0066707090928783,0.701,18.037000000000003,205.0,0.536,13.0,1,99,40__40,11.868032786885246,32.4,288.9,2675.37,3.43,1.241967213114754,19,434.75,-145.85000000000002,890.6999999999999,5,85,12,2,34.0,629.11,70.9,127.3,10.332258064516129,24.3,644.56,103.7,1.87,47.8,17.873333333333335,32.4,744.29,138.78,3.43,3,79.8,17.906451612903226,30.9,657.41,121.37,2.68,2,-0.0444786676286676,0.0527238095238095,-0.0991666666666666,0.0527238095238095,-0.0081004985754985,3
214,2010,40.0,40.0,1.955,estimate_normalized,True,9.0,7.1,3.67,236.12,399.02591,8.82,420.0,44.0,0.4134545454545454,0.713,0.18,0.178971741617275,0.2405,0.602,0.0066302157729495,0.698,18.192,205.0,0.5329999999999999,13.0,1,99,40__40,11.868032786885246,32.4,288.9,2675.37,3.43,1.241967213114754,19,434.75,-145.85000000000002,890.6999999999999,5,85,12,2,34.0,629.11,70.9,127.3,10.332258064516129,24.3,644.56,103.7,1.87,47.8,17.873333333333335,32.4,744.29,138.78,3.43,3,79.8,17.906451612903226,30.9,657.41,121.37,2.68,2,-0.0432556968494468,0.0529904761904761,-0.0954999999999999,0.0529904761904761,-0.0096524216524216,3
215,2010,40.0,40.0,2.5285,estimate_normalized,True,79.0,6.666666666666667,3.776666666666667,192.12,392.99891,12.116666666666667,430.0,42.0,0.4634285714285714,0.692,0.187,0.175464979935238,0.30525,0.64275,0.0067633782009192,0.683,19.464,205.0,0.5049999999999999,18.0,1,99,40__40,11.79590163934426,32.1,288.9,2675.37,3.21,1.19672131147541,19,429.54,-140.64,871.6,4,85,12,2,34.0,629.11,72.83,127.3,10.058064516129033,24.4,644.56,101.06,1.95,47.8,17.7,32.1,744.29,136.75,3.21,2,79.8,17.73225806451613,30.4,657.41,118.9,2.6,2,0.0041668146888385,0.0741999999999999,-0.0835,0.0292444444444445,0.006799654049654,3
