field_id,year,crop_id,target_yield_t_ha,dataset_tag,subset_tag,model_pred_oof_t_ha,model_pred_train_t_ha
195,2019,43.0,29.511,baseline,wheat,31.700180158390765,29.38220411965651
195,2025,43.0,28.708,baseline,wheat,30.48769998113175,29.104467832956715
197,2019,43.0,33.518,baseline,wheat,33.78101338991983,33.526095638590704
197,2025,43.0,31.238,baseline,wheat,32.96015974991181,31.05982664434542
207,2019,43.0,27.728,baseline,wheat,32.7178360611924,28.2492752943469
207,2025,43.0,34.044,baseline,wheat,30.616408816021895,33.37077339698896
208,2020,43.0,13.906,baseline,wheat,19.7240064958824,14.045478767736906
208,2022,43.0,34.204,baseline,wheat,24.29722158596011,33.94115885417798
208,2023,43.0,15.494,baseline,wheat,16.406887777444283,15.425903800373986
208,2025,43.0,30.721,baseline,wheat,35.54454164565232,31.23146280878304
209,2022,43.0,34.979,baseline,wheat,25.640083899642637,35.21256749987241
210,2022,43.0,34.1,baseline,wheat,24.25732658745316,33.9240973780988
211,2022,43.0,34.704,baseline,wheat,22.522661396055838,34.399584330562604
212,2020,43.0,13.132,baseline,wheat,17.837404728728156,13.283807712572287
212,2022,43.0,30.777,baseline,wheat,26.659258233814313,30.83223745062779
212,2023,43.0,16.78,baseline,wheat,16.04369508784128,16.48555715985267
212,2025,43.0,28.967,baseline,wheat,28.64333415049646,28.9180052213914
213,2020,43.0,15.964,baseline,wheat,20.496976791231443,16.16160990087662
213,2021,43.0,33.956,baseline,wheat,31.640016068699293,32.99071863250004
213,2023,43.0,16.769,baseline,wheat,18.39069048689648,16.951435945478483
214,2020,43.0,15.097,baseline,wheat,19.411246384853225,14.989280582606723
214,2021,43.0,28.408,baseline,wheat,32.82256103693816,28.8133845579092
214,2023,43.0,16.104,baseline,wheat,17.040037926127297,16.153734157603363
215,2020,43.0,15.953,baseline,wheat,23.44699770654011,16.183001884176687
215,2022,43.0,27.345,baseline,wheat,20.630869943051948,27.44127641642272
216,2020,43.0,21.373,baseline,wheat,25.39057176038205,21.38114256947889
216,2022,43.0,39.809,baseline,wheat,37.17502490828097,39.68263331091176
217,2020,43.0,19.61,baseline,wheat,18.462005812321333,19.47408274676959
217,2022,43.0,34.127,baseline,wheat,26.069925854003706,33.75920138937771
217,2025,43.0,27.186,baseline,wheat,33.21383193656544,27.70775565267576
218,2020,43.0,17.929,baseline,wheat,16.32449879679811,16.816107329085813
218,2022,43.0,25.543,baseline,wheat,23.77387503205026,25.986227457365707
218,2024,43.0,34.0,baseline,wheat,32.385550780485296,34.59183463965007
218,2025,43.0,26.461,baseline,wheat,30.36258823850203,26.58105267298551
219,2020,43.0,11.434,baseline,wheat,19.366030983614635,11.850105693975157
219,2022,43.0,34.281,baseline,wheat,24.791220887925643,33.30228750781473
219,2024,43.0,33.588,baseline,wheat,31.817857148631568,33.816446806851296
220,2020,43.0,17.675,baseline,wheat,32.50962535252357,18.73254483566012
220,2022,43.0,32.34,baseline,wheat,30.9852488897947,32.80923270397374
220,2024,43.0,39.769,baseline,wheat,34.918738606909365,39.19144127759875
220,2025,43.0,36.214,baseline,wheat,33.19221614411857,35.6493499776318
221,2020,43.0,28.632,baseline,wheat,31.212271327106944,29.59218144493856
221,2022,43.0,41.328,baseline,wheat,36.595736479570284,41.60895243254167
222,2020,43.0,9.872,baseline,wheat,19.51077390940922,10.56650254601337
222,2022,43.0,34.904,baseline,wheat,28.297792575106687,34.263672171143384
222,2024,43.0,42.83,baseline,wheat,34.84125011035698,42.63155877348859
223,2020,43.0,11.26,baseline,wheat,21.614293097562687,11.587958210562169
223,2022,43.0,28.408,baseline,wheat,28.100361624269745,28.827495025045003
223,2024,43.0,42.385,baseline,wheat,29.77084605524061,41.463024819632125
224,2020,43.0,17.282,baseline,wheat,19.34962015808615,17.20094533586861
224,2022,43.0,33.052,baseline,wheat,29.662418262051453,33.16220544053384
225,2020,43.0,35.471,baseline,wheat,28.943140297654406,33.44657459635
225,2022,43.0,45.8,baseline,wheat,36.78142123025108,45.312280190485716
226,2020,43.0,15.046,baseline,wheat,18.607595534343186,15.168676913437618
226,2022,43.0,29.26,baseline,wheat,29.228529364735024,29.53400474843828
228,2022,43.0,32.991,baseline,wheat,28.091461481940467,33.1809699358527
228,2025,43.0,35.23,baseline,wheat,34.63106587070121,35.18074279513964
229,2022,43.0,26.656,baseline,wheat,20.613202472852873,26.966516175348538
229,2025,43.0,31.488,baseline,wheat,31.305667790395663,31.37618179446002
230,2023,43.0,15.378,baseline,wheat,15.382295211507694,15.285902447721766
230,2025,43.0,29.788,baseline,wheat,33.07551138445129,29.93372502889028
231,2017,43.0,22.209,baseline,wheat,24.13891730745371,22.153882886651573
231,2024,43.0,36.423,baseline,wheat,33.66663751754906,36.90424780262357
232,2017,43.0,27.603,baseline,wheat,28.702056469526795,27.546399860718253
232,2024,43.0,41.416,baseline,wheat,33.260663942890865,40.92122285398885
233,2020,43.0,17.5,baseline,wheat,24.43964789392264,17.07939787159264
234,2022,43.0,35.318,baseline,wheat,31.034906673761373,35.515727445765265
